,city_name,Deaths,Agency,Quantity,Acquisition Value,pctPop_25_grad,pctPop_25_collegeup,pctPop_25_hsup
374,SC: SENECA,1,SC: SENECA POLICE DEPARTMENT,38,375600.68,9.9,24.6,83.9
375,WY: CHEYENNE,1,WY: CHEYENNE POLICE DEPARTMENT,2,1422000.0,10.2,28.7,93.2
376,TX: PALESTINE,1,TX: PALESTINE POLICE DEPARTMENT,1,3932.42,4.1,11.7,80.1
377,TX: VICTORIA,1,TX: VICTORIA POLICE DEPARTMENT,74,422247.0,6.2,19.9,83.6
378,GA: DOUGLAS,2,GA: DOUGLAS POLICE DEPARTMENT,20,2400.0,5.5,13.2,77.4
380,ID: REXBURG,1,ID: REXBURG POLICE DEPARTMENT,300,282190.83000000013,9.8,31.1,93.2
381,IA: MARSHALLTOWN,1,IA: MARSHALLTOWN POLICE DEPARTMENT,2,774061.0,5.4,19.0,83.6
382,NV: ELKO,1,NV: ELKO POLICE DEPARTMENT,140,829205.0599999999,6.6,18.0,85.5
383,TX: WACO,1,TX: BELLMEAD POLICE DEPARTMENT,2,64543.0,7.9,22.9,83.7
384,ND: DICKINSON,1,ND: DICKINSON POLICE DEPARTMENT,3,377121.0,6.3,22.9,91.8
385,FL: GAINESVILLE,1,FL: GAINESVILLE POLICE DEPARTMENT,90,958075.1299999999,19.6,40.6,91.9
386,GA: STATESBORO,1,GA: STATESBORO POLICE DEPARTMENT,73,195098.33000000002,12.4,27.4,86.9
387,GA: WAYCROSS,2,GA: WAYCROSS POLICE DEPARTMENT,10,844759.3999999999,5.5,13.2,83.2
389,LA: LAFAYETTE,2,LA: LAFAYETTE POLICE DEPARTMENT,2,93966.0,6.7,22.8,83.2
391,SC: COLUMBIA,1,SC: COLUMBIA POLICE DEPARTMENT,310,1562722.7799999982,12.2,31.9,89.5
392,OH: CELINA,1,OH: CELINA POLICE DEPARTMENT,1199,395824.03,6.2,16.7,91.7
